title,year,rating,directors,stars,durasi_menit
The Shawshank Redemption,1994,9.3,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton",142
The Godfather,1972,9.2,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan",175
The Dark Knight,2008,9.1,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart",152
The Godfather Part II,1974,9.0,Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall",202
12 Angry Men,1957,9.0,Sidney Lumet,"Henry Fonda, Lee J. Cobb, Martin Balsam",96
The Lord of the Rings: The Return of the King,2003,9.0,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen",201
Schindler's List,1993,9.0,Steven Spielberg,"Liam Neeson, Ralph Fiennes, Ben Kingsley",195
The Lord of the Rings: The Fellowship of the Ring,2001,8.9,Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom",178
Pulp Fiction,1994,8.8,Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson",154
"The Good, the Bad and the Ugly",1966,8.8,Sergio Leone,"Clint Eastwood, Eli Wallach, Lee Van Cleef",178
The Lord of the Rings: The Two Towers,2002,8.8,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen",179
Forrest Gump,1994,8.8,Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise",142
Fight Club,1999,8.8,David Fincher,"Brad Pitt, Edward Norton, Meat Loaf",139
Inception,2010,8.8,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page",148
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher",124
The Matrix,1999,8.7,"Lana Wachowski, Lilly Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss",136
Goodfellas,1990,8.7,Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci",145
Interstellar,2014,8.7,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain",169
One Flew Over the Cuckoo's Nest,1975,8.6,Milos Forman,"Jack Nicholson, Louise Fletcher, Michael Berryman",133
Se7en,1995,8.6,David Fincher,"Morgan Freeman, Brad Pitt, Kevin Spacey",127
It's a Wonderful Life,1946,8.6,Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore",130
The Silence of the Lambs,1991,8.6,Jonathan Demme,"Jodie Foster, Anthony Hopkins, Scott Glenn",118
Seven Samurai,1954,8.6,Akira Kurosawa,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima",207
Saving Private Ryan,1998,8.6,Steven Spielberg,"Tom Hanks, Matt Damon, Tom Sizemore",169
The Green Mile,1999,8.6,Frank Darabont,"Tom Hanks, Michael Clarke Duncan, David Morse",189
City of God,2002,8.6,"Kátia Lund, Fernando Meirelles","Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele",130
Life Is Beautiful,1997,8.6,Roberto Benigni,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini",116
Terminator 2: Judgment Day,1991,8.6,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong",137
Star Wars: Episode IV - A New Hope,1977,8.6,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher",121
Back to the Future,1985,8.5,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson",116
Spirited Away,2001,8.6,Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette, Miyu Irino",124
The Pianist,2002,8.5,Roman Polanski,"Adrien Brody, Thomas Kretschmann, Frank Finlay",150
Gladiator,2000,8.5,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen",155
Parasite,2019,8.5,Bong Joon Ho,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong",132
Psycho,1960,8.5,Alfred Hitchcock,"Anthony Perkins, Janet Leigh, Vera Miles",109
Grave of the Fireflies,1988,8.5,Isao Takahata,"Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi",88
The Lion King,1994,8.5,"Roger Allers, Rob Minkoff","Matthew Broderick, Jeremy Irons, James Earl Jones",88
Harakiri,1962,8.6,Masaki Kobayashi,"Tatsuya Nakadai, Akira Ishihama, Shima Iwashita",133
The Departed,2006,8.5,Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson",151
Whiplash,2014,8.5,Damien Chazelle,"Miles Teller, J.K. Simmons, Melissa Benoist",106
The Prestige,2006,8.5,Christopher Nolan,"Christian Bale, Hugh Jackman, Scarlett Johansson",130
American History X,1998,8.5,Tony Kaye,"Edward Norton, Edward Furlong, Beverly D'Angelo",119
Léon: The Professional,1994,8.5,Luc Besson,"Jean Reno, Gary Oldman, Natalie Portman",110
Spider-Man: Across the Spider-Verse,2023,8.5,"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson","Shameik Moore, Hailee Steinfeld, Brian Tyree Henry",140
Cinema Paradiso,1988,8.5,Giuseppe Tornatore,"Philippe Noiret, Enzo Cannavale, Antonella Attili",174
Casablanca,1942,8.5,Michael Curtiz,"Humphrey Bogart, Ingrid Bergman, Paul Henreid",102
The Intouchables,2011,8.5,"Olivier Nakache, Éric Toledano","François Cluzet, Omar Sy, Anne Le Ny",112
