title,year,duration,rating,directors,stars
The Shawshank Redemption,1994,2h 22m,9.3,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton"
The Godfather,1972,2h 55m,9.2,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan"
The Dark Knight,2008,2h 32m,9.1,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart"
The Godfather Part II,1974,3h 22m,9.0,Francis Ford Coppola,"Al Pacino, Robert De Niro, Robert Duvall"
12 Angry Men,1957,1h 36m,9.0,Sidney Lumet,"Henry Fonda, Lee J. Cobb, Martin Balsam"
The Lord of the Rings: The Return of the King,2003,3h 21m,9.0,Peter Jackson,"Elijah Wood, Viggo Mortensen, Ian McKellen"
Schindler's List,1993,3h 15m,9.0,Steven Spielberg,"Liam Neeson, Ralph Fiennes, Ben Kingsley"
The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,8.9,Peter Jackson,"Elijah Wood, Ian McKellen, Orlando Bloom"
Pulp Fiction,1994,2h 34m,8.8,Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson"
"The Good, the Bad and the Ugly",1966,2h 58m,8.8,Sergio Leone,"Clint Eastwood, Eli Wallach, Lee Van Cleef"
The Lord of the Rings: The Two Towers,2002,2h 59m,8.8,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen"
Forrest Gump,1994,2h 22m,8.8,Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise"
Fight Club,1999,2h 19m,8.8,David Fincher,"Brad Pitt, Edward Norton, Meat Loaf"
Inception,2010,2h 28m,8.8,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page"
Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,8.7,Irvin Kershner,"Mark Hamill, Harrison Ford, Carrie Fisher"
The Matrix,1999,2h 16m,8.7,"Lana Wachowski, Lilly Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss"
Goodfellas,1990,2h 25m,8.7,Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci"
Interstellar,2014,2h 49m,8.7,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain"
One Flew Over the Cuckoo's Nest,1975,2h 13m,8.6,Milos Forman,"Jack Nicholson, Louise Fletcher, Michael Berryman"
Se7en,1995,2h 7m,8.6,David Fincher,"Morgan Freeman, Brad Pitt, Kevin Spacey"
It's a Wonderful Life,1946,2h 10m,8.6,Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore"
The Silence of the Lambs,1991,1h 58m,8.6,Jonathan Demme,"Jodie Foster, Anthony Hopkins, Scott Glenn"
Seven Samurai,1954,3h 27m,8.6,Akira Kurosawa,"Toshirô Mifune, Takashi Shimura, Keiko Tsushima"
Saving Private Ryan,1998,2h 49m,8.6,Steven Spielberg,"Tom Hanks, Matt Damon, Tom Sizemore"
The Green Mile,1999,3h 9m,8.6,Frank Darabont,"Tom Hanks, Michael Clarke Duncan, David Morse"
City of God,2002,2h 10m,8.6,"Kátia Lund, Fernando Meirelles","Alexandre Rodrigues, Leandro Firmino, Matheus Nachtergaele"
Life Is Beautiful,1997,1h 56m,8.6,Roberto Benigni,"Roberto Benigni, Nicoletta Braschi, Giorgio Cantarini"
Terminator 2: Judgment Day,1991,2h 17m,8.6,James Cameron,"Arnold Schwarzenegger, Linda Hamilton, Edward Furlong"
Star Wars: Episode IV - A New Hope,1977,2h 1m,8.6,George Lucas,"Mark Hamill, Harrison Ford, Carrie Fisher"
Back to the Future,1985,1h 56m,8.5,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson"
Spirited Away,2001,2h 4m,8.6,Hayao Miyazaki,"Daveigh Chase, Suzanne Pleshette, Miyu Irino"
The Pianist,2002,2h 30m,8.5,Roman Polanski,"Adrien Brody, Thomas Kretschmann, Frank Finlay"
Gladiator,2000,2h 35m,8.5,Ridley Scott,"Russell Crowe, Joaquin Phoenix, Connie Nielsen"
Parasite,2019,2h 12m,8.5,Bong Joon Ho,"Song Kang-ho, Lee Sun-kyun, Cho Yeo-jeong"
Psycho,1960,1h 49m,8.5,Alfred Hitchcock,"Anthony Perkins, Janet Leigh, Vera Miles"
Grave of the Fireflies,1988,1h 28m,8.5,Isao Takahata,"Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi"
The Lion King,1994,1h 28m,8.5,"Roger Allers, Rob Minkoff","Matthew Broderick, Jeremy Irons, James Earl Jones"
